Age,Gender,Marital_Status,Customer_Region,Product_Category,Preferred_Payment_Method,Preferred_Delivery_Option,Device_Used,Annual_Income,Spending_Score,Average_Order_Value,Number_of_Orders,Review_Score,Age_Group,Engagement_Level,High_Spender,Cluster
43,0,0,Europe,Home,Credit Card,Express,Mobile,50262,79,538.27,70,3,36-45,Occasional,1,1
42,1,0,North America,Fashion,Debit Card,Same-Day,Tablet,180653,46,114.71,7,4,36-45,Occasional,0,1
25,0,1,North America,Fashion,Credit Card,Same-Day,Tablet,95118,80,623.35,2,2,18-25,Occasional,1,1
42,0,1,Asia,Sports,Credit Card,Same-Day,Mobile,123434,31,806.53,38,1,36-45,Active,0,2
38,1,1,Europe,Electronics,Credit Card,Standard,Tablet,104698,61,766.02,12,5,36-45,Occasional,1,1
29,0,0,Europe,Home,Net Banking,Same-Day,Mobile,43629,81,225.76,85,5,26-35,Active,0,2
38,1,0,South America,Fashion,Credit Card,Express,Mobile,107725,18,564.96,48,1,36-45,Active,0,2
39,0,0,North America,Sports,Debit Card,Standard,Mobile,117625,49,862.85,43,5,36-45,Active,0,2
37,1,1,North America,Beauty,PayPal,Express,Mobile,52792,54,367.56,99,4,36-45,Occasional,0,1
21,0,0,Europe,Beauty,Debit Card,Express,Tablet,75602,77,784.13,94,4,18-25,Highly Active,1,2
66,1,0,Asia,Fashion,Debit Card,Standard,Tablet,180835,78,713.11,70,2,60+,Active,1,0
18,1,0,Asia,Sports,Net Banking,Standard,Mobile,175657,93,727.86,88,3,18-25,Occasional,1,1
31,0,1,North America,Beauty,Debit Card,Same-Day,Mobile,176887,10,889.96,46,3,26-35,Occasional,0,1
41,1,1,South America,Beauty,Credit Card,Express,Tablet,128464,81,975.03,77,4,36-45,Occasional,1,1
33,0,0,Asia,Electronics,Credit Card,Standard,Tablet,102013,7,70.28,92,2,26-35,Occasional,0,1
31,0,0,Asia,Beauty,Net Banking,Standard,Desktop,94129,37,942.55,83,5,26-35,Active,0,2
20,1,0,Asia,Home,Debit Card,Same-Day,Tablet,95280,79,747.57,4,5,18-25,Active,1,2
59,1,1,Asia,Home,PayPal,Same-Day,Mobile,39563,91,284.88,32,3,46-60,Active,0,3
53,1,1,South America,Home,Credit Card,Express,Mobile,24775,23,728.47,13,3,46-60,Active,0,3
31,1,0,North America,Home,PayPal,Express,Desktop,88365,78,294.09,32,4,26-35,Occasional,0,1
59,1,1,Asia,Home,PayPal,Same-Day,Desktop,152756,61,432.08,88,5,46-60,Occasional,0,3
57,0,0,Europe,Sports,Credit Card,Same-Day,Tablet,60836,71,245.39,15,3,46-60,Active,0,3
28,1,0,South America,Sports,Net Banking,Standard,Desktop,119576,38,181.35,69,3,26-35,Occasional,0,1
35,1,1,South America,Sports,PayPal,Standard,Desktop,161433,6,55.38,17,4,26-35,Occasional,0,1
25,1,1,North America,Home,Net Banking,Standard,Mobile,163791,74,712.48,36,5,18-25,Occasional,1,1
21,1,0,North America,Electronics,Debit Card,Standard,Mobile,50614,80,7.79,40,3,18-25,Active,0,2
31,0,1,South America,Fashion,Net Banking,Standard,Mobile,184981,45,792.76,44,1,26-35,Active,0,2
65,1,0,Asia,Sports,Net Banking,Same-Day,Mobile,154428,99,328.89,1,1,60+,Active,0,0
32,1,0,North America,Beauty,Credit Card,Same-Day,Tablet,46242,36,259.87,90,4,26-35,Occasional,0,1
61,0,0,North America,Beauty,Net Banking,Standard,Mobile,119462,67,730.17,18,5,60+,Highly Active,1,0
60,0,1,North America,Fashion,PayPal,Same-Day,Tablet,192407,42,993.3,21,2,46-60,Active,0,3
27,0,1,South America,Home,Debit Card,Same-Day,Mobile,76233,54,956.88,76,5,26-35,Active,1,2
26,0,1,Europe,Beauty,PayPal,Standard,Desktop,69376,47,839.42,58,3,26-35,Occasional,0,1
34,0,1,North America,Beauty,Credit Card,Standard,Mobile,51515,83,559.01,85,4,26-35,Highly Active,1,2
34,0,1,North America,Home,Net Banking,Express,Desktop,172165,22,874.0,21,2,26-35,Highly Active,0,2
27,0,0,South America,Home,Credit Card,Express,Mobile,73562,25,644.53,66,1,26-35,Occasional,0,1
48,0,1,Asia,Beauty,PayPal,Express,Mobile,127938,80,496.53,23,3,46-60,Occasional,0,3
41,0,1,South America,Home,Debit Card,Same-Day,Tablet,25770,46,85.52,20,1,36-45,Active,0,2
63,0,1,South America,Beauty,PayPal,Standard,Mobile,143311,92,958.09,53,1,60+,Occasional,1,0
23,0,0,South America,Sports,Net Banking,Express,Mobile,40758,71,162.29,7,1,18-25,Active,0,2
66,0,0,Asia,Home,Credit Card,Standard,Mobile,117871,2,416.98,40,3,60+,Active,0,0
19,1,0,North America,Fashion,Debit Card,Express,Tablet,31420,87,607.13,16,1,18-25,Occasional,1,1
49,0,1,South America,Electronics,Credit Card,Express,Mobile,152318,22,537.96,50,4,46-60,Active,0,3
63,1,1,North America,Electronics,Debit Card,Standard,Mobile,90783,4,902.56,84,1,60+,Active,0,0
19,1,0,Asia,Beauty,Credit Card,Same-Day,Mobile,147580,54,645.63,34,4,18-25,Active,1,2
67,1,0,Europe,Sports,Net Banking,Standard,Mobile,127322,42,888.46,8,5,60+,Occasional,0,0
60,1,1,North America,Home,Debit Card,Same-Day,Mobile,196010,48,924.45,26,4,46-60,Active,0,3
42,1,0,North America,Fashion,Credit Card,Same-Day,Mobile,52485,24,937.72,91,1,36-45,Active,0,2
28,0,1,Asia,Electronics,Debit Card,Standard,Desktop,21965,51,44.71,63,5,26-35,Occasional,0,1
26,1,0,Asia,Electronics,PayPal,Express,Tablet,162330,10,121.28,89,2,26-35,Occasional,0,1
47,1,1,South America,Home,Credit Card,Standard,Tablet,84297,44,245.2,67,1,46-60,Active,0,3
28,1,1,Europe,Sports,Debit Card,Standard,Desktop,44572,95,497.36,72,1,26-35,Active,0,2
54,1,1,Asia,Home,Credit Card,Same-Day,Mobile,126235,90,758.06,81,3,46-60,Highly Active,1,3
54,1,1,South America,Electronics,Credit Card,Same-Day,Tablet,78878,13,722.25,62,4,46-60,Occasional,0,3
39,0,1,North America,Electronics,PayPal,Express,Desktop,33213,98,874.29,18,1,36-45,Occasional,1,1
37,1,0,North America,Home,Debit Card,Standard,Desktop,89384,46,327.86,4,3,36-45,Occasional,0,1
50,0,0,Europe,Home,PayPal,Same-Day,Desktop,27331,76,30.12,37,4,46-60,Occasional,0,3
29,1,0,South America,Beauty,Credit Card,Standard,Mobile,177639,100,814.36,47,4,26-35,Occasional,1,1
23,0,1,Europe,Sports,Credit Card,Standard,Mobile,111721,56,471.39,79,1,18-25,Active,0,2
49,0,0,Europe,Electronics,Credit Card,Express,Mobile,171810,96,685.09,17,2,46-60,Active,1,3
69,0,1,Europe,Fashion,Net Banking,Same-Day,Desktop,119024,55,429.62,7,1,60+,Highly Active,0,0
68,0,0,Asia,Home,Net Banking,Standard,Desktop,69919,25,444.96,56,4,60+,Occasional,0,0
27,0,0,South America,Fashion,Credit Card,Standard,Desktop,66365,32,351.25,52,2,26-35,Occasional,0,1
22,0,0,North America,Sports,Credit Card,Same-Day,Mobile,193286,16,379.8,51,5,18-25,Occasional,0,1
20,1,0,North America,Sports,Net Banking,Standard,Tablet,41007,26,42.84,91,2,18-25,Occasional,0,1
69,0,0,North America,Sports,Net Banking,Standard,Mobile,20111,79,571.81,97,3,60+,Active,1,0
44,1,0,Europe,Electronics,Net Banking,Same-Day,Tablet,113680,82,808.0,43,2,36-45,Active,1,2
64,1,1,Europe,Fashion,Net Banking,Standard,Tablet,108490,35,357.3,37,5,60+,Active,0,0
66,1,1,Europe,Fashion,Debit Card,Standard,Mobile,75904,45,448.48,96,4,60+,Occasional,0,0
63,1,0,South America,Beauty,Debit Card,Same-Day,Desktop,91484,73,160.64,51,5,60+,Occasional,0,0
46,0,0,South America,Sports,PayPal,Express,Mobile,70629,13,955.07,38,1,46-60,Active,0,3
22,0,1,South America,Fashion,Debit Card,Express,Desktop,179776,96,396.7,18,3,18-25,Occasional,0,1
38,0,1,Europe,Electronics,Net Banking,Same-Day,Mobile,41410,13,967.06,77,4,36-45,Occasional,0,1
46,0,0,Europe,Electronics,Credit Card,Standard,Desktop,53063,71,454.42,54,5,46-60,Highly Active,0,3
59,1,1,North America,Fashion,PayPal,Standard,Mobile,172330,66,711.88,35,2,46-60,Active,1,3
46,0,0,North America,Home,Credit Card,Same-Day,Desktop,189025,28,311.06,33,2,46-60,Active,0,3
59,1,0,North America,Beauty,Net Banking,Same-Day,Desktop,34652,96,581.02,94,1,46-60,Highly Active,1,3
53,0,1,Europe,Home,Credit Card,Same-Day,Mobile,54269,81,471.76,18,3,46-60,Occasional,0,3
36,0,0,South America,Beauty,Credit Card,Same-Day,Tablet,55071,89,421.22,27,3,36-45,Occasional,0,1
22,1,1,Asia,Sports,Net Banking,Express,Desktop,107922,95,559.74,21,5,18-25,Active,1,2
51,0,0,North America,Home,Credit Card,Express,Mobile,55950,71,664.44,13,1,46-60,Active,1,3
66,0,0,North America,Sports,Debit Card,Same-Day,Mobile,76578,67,111.66,77,3,60+,Occasional,0,0
34,1,0,South America,Sports,Debit Card,Express,Desktop,157175,39,307.38,95,4,26-35,Active,0,2
25,0,1,South America,Electronics,PayPal,Same-Day,Desktop,118737,2,577.64,99,5,18-25,Occasional,0,1
21,0,1,Europe,Beauty,Net Banking,Same-Day,Tablet,193969,12,629.5,29,4,18-25,Occasional,0,1
30,0,0,North America,Home,Debit Card,Standard,Desktop,98705,56,340.86,14,2,26-35,Occasional,0,1
54,1,0,South America,Home,Debit Card,Standard,Mobile,53875,53,147.38,52,2,46-60,Active,0,3
27,1,0,North America,Electronics,PayPal,Express,Desktop,89016,88,616.81,57,4,26-35,Occasional,1,1
49,1,0,North America,Beauty,Credit Card,Express,Desktop,170431,95,6.68,77,1,46-60,Highly Active,0,3
41,0,0,South America,Sports,Credit Card,Same-Day,Tablet,91183,14,480.13,47,5,36-45,Active,0,2
47,1,0,Europe,Home,Credit Card,Express,Tablet,63604,73,831.86,25,4,46-60,Occasional,1,3
51,1,0,Asia,Sports,PayPal,Same-Day,Tablet,154264,35,588.0,2,3,46-60,Highly Active,0,3
32,0,1,Europe,Home,Debit Card,Express,Mobile,110854,29,332.76,9,5,26-35,Occasional,0,1
19,1,0,Asia,Sports,Debit Card,Standard,Mobile,75568,97,864.48,46,5,18-25,Occasional,1,1
60,1,1,South America,Electronics,Credit Card,Express,Tablet,144392,82,56.06,85,3,46-60,Occasional,0,3
42,0,1,South America,Beauty,Net Banking,Standard,Tablet,25796,100,961.57,65,5,36-45,Active,1,2
59,0,0,Europe,Sports,Net Banking,Same-Day,Mobile,94693,22,837.79,85,5,46-60,Active,0,3
29,0,0,North America,Fashion,PayPal,Express,Tablet,55373,77,488.35,64,3,26-35,Occasional,0,1
42,0,0,Asia,Beauty,Debit Card,Express,Tablet,162526,96,142.14,51,1,36-45,Active,0,2
57,1,1,North America,Sports,Net Banking,Express,Tablet,191084,7,211.39,69,5,46-60,Occasional,0,3
21,1,1,Europe,Home,Debit Card,Same-Day,Tablet,185834,5,965.91,80,5,18-25,Active,0,2
46,0,1,Asia,Fashion,Debit Card,Express,Desktop,198370,25,211.41,81,2,46-60,Occasional,0,3
18,0,1,South America,Fashion,Credit Card,Express,Desktop,22737,47,478.73,40,3,18-25,Occasional,0,1
32,0,0,Europe,Beauty,Debit Card,Express,Mobile,62770,19,320.76,95,5,26-35,Active,0,2
65,1,1,North America,Electronics,Debit Card,Express,Desktop,122326,6,930.35,19,5,60+,Active,0,0
37,0,0,Europe,Sports,Net Banking,Express,Tablet,193369,97,395.99,49,4,36-45,Active,0,2
25,1,1,North America,Beauty,Debit Card,Same-Day,Mobile,28802,64,199.39,47,3,18-25,Active,0,2
62,1,0,South America,Electronics,Credit Card,Standard,Tablet,93849,42,89.39,32,5,60+,Active,0,0
18,0,0,North America,Fashion,Net Banking,Express,Tablet,73740,45,179.36,93,4,18-25,Active,0,2
32,0,0,Asia,Electronics,Debit Card,Standard,Desktop,72271,99,503.03,69,3,26-35,Active,0,2
37,0,0,North America,Electronics,PayPal,Same-Day,Mobile,67710,43,496.78,56,4,36-45,Active,0,2
67,0,1,North America,Electronics,Net Banking,Standard,Tablet,121127,9,568.46,54,2,60+,Active,0,0
39,0,1,South America,Home,Debit Card,Same-Day,Desktop,69715,6,773.27,98,2,36-45,Active,0,2
33,1,0,Europe,Fashion,Credit Card,Express,Desktop,185963,15,512.5,36,3,26-35,Occasional,0,1
60,1,1,Europe,Electronics,Credit Card,Same-Day,Mobile,174561,73,363.52,70,5,46-60,Occasional,0,3
67,1,0,Europe,Fashion,Credit Card,Standard,Mobile,193933,86,191.22,75,3,60+,Occasional,0,0
44,0,1,South America,Electronics,Debit Card,Express,Tablet,69895,27,213.42,69,4,36-45,Active,0,2
56,1,1,Europe,Electronics,Net Banking,Standard,Mobile,111388,74,755.89,36,1,46-60,Occasional,1,3
21,1,0,Asia,Sports,PayPal,Express,Tablet,170739,64,302.81,54,2,18-25,Occasional,0,1
30,0,1,South America,Fashion,Debit Card,Same-Day,Desktop,188085,2,190.86,27,2,26-35,Active,0,2
62,1,0,North America,Electronics,Credit Card,Standard,Tablet,199328,12,383.17,56,3,60+,Highly Active,0,0
29,0,1,North America,Sports,PayPal,Standard,Mobile,73459,13,348.41,41,5,26-35,Highly Active,0,2
60,0,0,Europe,Sports,Credit Card,Same-Day,Desktop,143901,100,175.87,89,3,46-60,Occasional,0,3
21,1,1,North America,Home,Debit Card,Same-Day,Mobile,123101,5,545.42,36,2,18-25,Active,0,2
37,1,1,Asia,Home,Debit Card,Express,Desktop,35022,89,499.19,18,3,36-45,Occasional,0,1
35,1,1,Asia,Beauty,Debit Card,Express,Mobile,75374,59,560.69,42,3,26-35,Occasional,1,1
58,0,1,North America,Sports,Net Banking,Standard,Tablet,87829,4,511.38,24,2,46-60,Active,0,3
37,0,0,South America,Fashion,Credit Card,Express,Mobile,162322,97,416.79,88,2,36-45,Active,0,2
25,0,0,Europe,Sports,Net Banking,Same-Day,Tablet,40242,65,74.14,1,4,18-25,Active,0,2
52,0,1,Europe,Home,Net Banking,Express,Mobile,33844,1,831.75,36,3,46-60,Occasional,0,3
54,0,0,Asia,Beauty,Credit Card,Express,Mobile,192536,70,442.62,62,1,46-60,Occasional,0,3
59,0,1,South America,Electronics,PayPal,Express,Mobile,27052,73,307.29,77,3,46-60,Active,0,3
57,1,0,Asia,Beauty,Debit Card,Standard,Mobile,82381,18,292.23,84,3,46-60,Active,0,3
31,0,1,North America,Beauty,Credit Card,Standard,Tablet,60391,11,122.17,33,2,26-35,Active,0,2
49,0,0,North America,Home,Debit Card,Standard,Desktop,160124,64,633.02,4,3,46-60,Occasional,1,3
51,1,0,North America,Sports,PayPal,Express,Tablet,125499,79,528.34,99,2,46-60,Highly Active,1,3
29,1,0,Europe,Beauty,Credit Card,Same-Day,Mobile,142148,58,124.02,3,2,26-35,Active,0,2
32,1,1,North America,Sports,Net Banking,Standard,Tablet,73186,86,988.41,7,5,26-35,Occasional,1,1
56,1,0,North America,Home,PayPal,Same-Day,Mobile,73135,39,278.73,56,3,46-60,Occasional,0,3
50,0,1,North America,Fashion,Debit Card,Standard,Mobile,136709,34,422.83,68,2,46-60,Active,0,3
24,1,0,Europe,Sports,PayPal,Same-Day,Mobile,44462,87,756.67,79,4,18-25,Occasional,1,1
43,0,0,South America,Home,Net Banking,Standard,Tablet,47187,76,877.03,84,5,36-45,Highly Active,1,2
26,1,1,North America,Electronics,Credit Card,Express,Mobile,87982,96,452.54,95,4,26-35,Occasional,0,1
50,0,0,North America,Beauty,Debit Card,Same-Day,Desktop,166695,14,619.27,70,3,46-60,Active,0,3
31,1,0,South America,Electronics,Debit Card,Express,Desktop,158445,13,291.62,93,3,26-35,Occasional,0,1
64,0,1,Europe,Electronics,Debit Card,Express,Tablet,130568,87,592.66,44,2,60+,Active,1,0
64,1,1,North America,Electronics,Debit Card,Express,Mobile,105006,61,100.28,70,3,60+,Active,0,0
35,1,1,North America,Home,Net Banking,Same-Day,Tablet,168339,80,146.82,93,3,26-35,Highly Active,0,2
19,0,0,Asia,Fashion,Net Banking,Same-Day,Tablet,31667,53,320.69,41,2,18-25,Occasional,0,1
47,0,0,South America,Beauty,PayPal,Same-Day,Desktop,72519,24,241.77,2,5,46-60,Active,0,3
67,1,1,South America,Fashion,Debit Card,Standard,Tablet,115606,18,796.18,96,4,60+,Occasional,0,0
34,1,1,North America,Home,Credit Card,Express,Tablet,121546,71,397.82,15,5,26-35,Active,0,2
27,1,0,Asia,Fashion,Credit Card,Standard,Tablet,71032,41,330.95,50,3,26-35,Active,0,2
34,0,1,South America,Home,PayPal,Standard,Tablet,140483,43,88.14,50,5,26-35,Occasional,0,1
24,0,0,Asia,Fashion,Credit Card,Same-Day,Tablet,132003,99,896.55,5,2,18-25,Active,1,2
45,1,0,North America,Beauty,Debit Card,Express,Mobile,29712,53,643.27,5,4,36-45,Active,1,2
22,0,1,North America,Beauty,Debit Card,Standard,Mobile,186661,89,308.84,13,2,18-25,Occasional,0,1
28,0,0,North America,Electronics,Net Banking,Standard,Desktop,167775,13,207.62,51,1,26-35,Occasional,0,1
40,1,0,Asia,Fashion,Credit Card,Express,Mobile,95263,75,755.99,43,3,36-45,Occasional,1,1
29,1,0,North America,Electronics,PayPal,Standard,Desktop,119342,35,326.47,78,2,26-35,Active,0,2
46,0,1,Asia,Fashion,Net Banking,Same-Day,Mobile,163089,93,178.82,36,4,46-60,Active,0,3
62,0,0,Asia,Sports,Net Banking,Express,Desktop,182337,25,673.52,75,2,60+,Occasional,0,0
68,0,1,North America,Home,Debit Card,Express,Desktop,26512,97,592.14,95,4,60+,Active,1,0
40,0,1,South America,Beauty,Net Banking,Standard,Desktop,156420,97,467.98,55,3,36-45,Occasional,0,1
36,0,1,North America,Beauty,Net Banking,Express,Tablet,66509,91,510.62,82,4,36-45,Occasional,1,1
45,1,1,North America,Beauty,Debit Card,Express,Desktop,122770,34,327.8,99,2,36-45,Occasional,0,1
48,0,0,South America,Fashion,Net Banking,Standard,Desktop,193572,66,788.07,36,5,46-60,Active,1,3
51,1,1,Europe,Home,Net Banking,Express,Tablet,61454,2,137.97,41,2,46-60,Occasional,0,3
51,1,1,South America,Home,Debit Card,Express,Tablet,93478,96,772.18,71,1,46-60,Active,1,3
39,0,1,Asia,Home,Debit Card,Same-Day,Mobile,34605,74,684.75,6,2,36-45,Highly Active,1,2
52,1,0,Asia,Home,Credit Card,Express,Tablet,186084,40,937.74,92,3,46-60,Occasional,0,3
58,1,1,South America,Electronics,Net Banking,Same-Day,Tablet,192567,82,882.31,82,3,46-60,Occasional,1,3
46,1,0,South America,Beauty,PayPal,Standard,Tablet,141463,30,409.6,1,4,46-60,Active,0,3
39,0,1,South America,Sports,PayPal,Standard,Mobile,114353,88,321.24,72,2,36-45,Occasional,0,1
69,0,0,Europe,Beauty,Debit Card,Express,Desktop,139912,62,465.6,45,4,60+,Active,0,0
41,0,1,South America,Electronics,Net Banking,Express,Tablet,182345,44,193.73,50,5,36-45,Active,0,2
45,0,1,South America,Home,Debit Card,Same-Day,Tablet,145617,8,250.38,72,1,36-45,Occasional,0,1
20,1,1,Asia,Home,Debit Card,Standard,Mobile,178254,79,859.37,57,1,18-25,Highly Active,1,2
56,0,0,North America,Beauty,Net Banking,Express,Desktop,79765,83,984.06,2,5,46-60,Active,1,3
57,0,0,Asia,Home,Credit Card,Standard,Desktop,40174,50,554.04,59,5,46-60,Active,0,3
55,0,1,Asia,Home,Net Banking,Same-Day,Tablet,181881,18,226.91,50,1,46-60,Occasional,0,3
33,1,1,Europe,Fashion,Net Banking,Same-Day,Desktop,63146,55,183.35,12,4,26-35,Highly Active,0,2
46,0,1,North America,Fashion,PayPal,Same-Day,Desktop,98374,4,152.19,87,5,46-60,Highly Active,0,3
43,0,1,South America,Beauty,Debit Card,Express,Desktop,76854,84,932.79,72,5,36-45,Active,1,2
52,1,1,Asia,Beauty,Debit Card,Same-Day,Tablet,157945,14,939.76,59,1,46-60,Active,0,3
22,1,1,South America,Sports,PayPal,Same-Day,Desktop,186999,1,720.79,21,2,18-25,Occasional,0,1
67,1,1,Europe,Beauty,PayPal,Same-Day,Tablet,105634,80,530.24,34,4,60+,Active,1,0
69,0,0,South America,Fashion,Net Banking,Standard,Tablet,114217,85,927.29,68,4,60+,Active,1,0
37,1,0,Europe,Beauty,PayPal,Express,Desktop,34721,69,507.18,22,2,36-45,Highly Active,1,2
23,0,0,Asia,Home,Net Banking,Same-Day,Tablet,168899,37,981.76,3,1,18-25,Occasional,0,1
20,1,1,South America,Home,Credit Card,Express,Mobile,146301,62,859.41,26,4,18-25,Highly Active,1,2
26,1,0,North America,Home,Debit Card,Standard,Desktop,28992,48,311.93,24,4,26-35,Active,0,2
54,1,1,Asia,Electronics,Net Banking,Express,Tablet,154883,81,28.46,53,1,46-60,Active,0,3
19,1,1,Asia,Fashion,Debit Card,Standard,Mobile,46442,92,587.61,69,4,18-25,Occasional,1,1
53,0,1,North America,Beauty,Credit Card,Express,Mobile,65745,13,213.38,66,2,46-60,Occasional,0,3
28,1,1,Europe,Sports,Credit Card,Express,Desktop,182192,89,755.92,2,5,26-35,Occasional,1,1
36,0,1,North America,Beauty,Debit Card,Standard,Mobile,72075,16,353.45,16,5,36-45,Active,0,2
48,1,1,Europe,Home,Net Banking,Express,Desktop,141865,85,837.68,53,2,46-60,Active,1,3
29,1,0,Asia,Sports,Net Banking,Express,Tablet,129427,77,945.02,53,4,26-35,Active,1,2
25,1,1,South America,Electronics,Credit Card,Same-Day,Desktop,87330,47,646.15,11,5,18-25,Occasional,0,1
35,0,0,South America,Fashion,Credit Card,Same-Day,Mobile,142592,76,220.83,95,4,26-35,Occasional,0,1
21,0,0,North America,Sports,Credit Card,Same-Day,Desktop,169053,55,284.33,63,3,18-25,Occasional,0,1
49,0,0,North America,Beauty,PayPal,Same-Day,Tablet,161712,81,21.13,89,5,46-60,Occasional,0,3
59,1,0,North America,Beauty,Net Banking,Standard,Mobile,99269,69,525.86,51,2,46-60,Active,1,3
67,0,0,South America,Electronics,PayPal,Standard,Tablet,102314,3,734.07,87,1,60+,Occasional,0,0
28,0,1,South America,Home,Debit Card,Express,Desktop,186840,90,326.67,60,3,26-35,Active,0,2
64,0,1,North America,Fashion,Net Banking,Standard,Mobile,36004,56,353.56,22,5,60+,Active,0,0
53,1,0,North America,Fashion,Credit Card,Express,Tablet,40083,24,684.75,59,3,46-60,Occasional,0,3
21,1,0,South America,Beauty,Credit Card,Express,Tablet,180650,15,851.99,14,2,18-25,Active,0,2
42,0,0,Asia,Beauty,Debit Card,Standard,Mobile,191097,57,989.02,69,5,36-45,Occasional,1,1
54,1,0,North America,Beauty,Credit Card,Express,Tablet,93900,83,436.87,66,2,46-60,Active,0,3
59,1,1,South America,Electronics,Net Banking,Standard,Desktop,59202,7,863.33,90,1,46-60,Occasional,0,3
67,0,0,Asia,Home,Net Banking,Standard,Mobile,104869,13,333.19,60,3,60+,Active,0,0
25,1,0,South America,Sports,Debit Card,Standard,Desktop,25552,11,763.83,65,4,18-25,Occasional,0,1
63,0,1,Asia,Sports,Debit Card,Same-Day,Tablet,56806,66,787.26,31,3,60+,Active,1,0
49,1,1,Europe,Beauty,PayPal,Standard,Mobile,73191,10,822.67,82,1,46-60,Active,0,3
66,0,0,Asia,Fashion,Credit Card,Standard,Mobile,115364,99,21.15,96,4,60+,Occasional,0,0
66,0,1,South America,Electronics,Debit Card,Standard,Desktop,65035,79,60.37,70,4,60+,Active,0,0
47,0,1,South America,Home,Credit Card,Same-Day,Mobile,166057,72,520.8,36,5,46-60,Highly Active,1,3
47,1,0,South America,Home,Credit Card,Standard,Tablet,150438,45,26.33,62,4,46-60,Occasional,0,3
19,1,0,Europe,Fashion,Credit Card,Standard,Mobile,33039,65,148.01,40,5,18-25,Active,0,2
68,0,0,Europe,Electronics,Debit Card,Same-Day,Tablet,42334,26,27.55,5,1,60+,Active,0,0
36,0,1,Asia,Beauty,Credit Card,Express,Mobile,101047,46,871.42,7,3,36-45,Active,0,2
